# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
		0	0		0	0	0	0	Vial (Nitrous Oxide)	Beaker (Nitrous Oxide)	Drum (Nitrous Oxide)	Chemical Vat (Nitrous Oxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (n-p Mercaptan)	Beaker (n-p Mercaptan)	Drum (n-p Mercaptan)	Chemical Vat (n-p Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (n-Pentane)	Beaker (n-Pentane)	Drum (n-Pentane)	Chemical Vat (n-Pentane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Olefins)	Beaker (Olefins)	Drum (Olefins)	Chemical Vat (Olefins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Oleyl Alcohol)	Beaker (Oleyl Alcohol)	Drum (Oleyl Alcohol)	Chemical Vat (Oleyl Alcohol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (o-Xylene)	Beaker (o-Xylene)	Drum (o-Xylene)	Chemical Vat (o-Xylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Oxalic Acid)	Beaker (Oxalic Acid)	Drum (Oxalic Acid)	Chemical Vat (Oxalic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (p-Dichlorobenzene)	Beaker (p-Dichlorobenzene)	Drum (p-Dichlorobenzene)	Chemical Vat (p-Dichlorobenzene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Paraffin)	Beaker (Paraffin)	Drum (Paraffin)	Chemical Vat (Paraffin)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (p-Xylene)	Beaker (p-Xylene)	Drum (p-Xylene)	Chemical Vat (p-Xylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Pentane Isomers)	Beaker (Pentane Isomers)	Drum (Pentane Isomers)	Chemical Vat (Pentane Isomers)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Pentyl Mercaptan)	Beaker (Pentyl Mercaptan)	Drum (Pentyl Mercaptan)	Chemical Vat (Pentyl Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Peracetic Acid)	Beaker (Peracetic Acid)	Drum (Peracetic Acid)	Chemical Vat (Peracetic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phenol)	Beaker (Phenol)	Drum (Phenol)	Chemical Vat (Phenol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phenol Formaldehyde)	Beaker (Phenol Formaldehyde)	Drum (Phenol Formaldehyde)	Chemical Vat (Phenol Formaldehyde)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phenol Red)	Beaker (Phenol Red)	Drum (Phenol Red)	Chemical Vat (Phenol Red)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phenolphthalein)	Beaker (Phenolphthalein)	Drum (Phenolphthalein)	Chemical Vat (Phenolphthalein)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phosgene)	Beaker (Phosgene)	Drum (Phosgene)	Chemical Vat (Phosgene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Phosphoric Acid)	Beaker (Phosphoric Acid)	Drum (Phosphoric Acid)	Chemical Vat (Phosphoric Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Phosphorus Pentoxide)	Sack (Phosphorus Pentoxide)	Powder Keg (Phosphorus Pentoxide)	Chemical Silo (Phosphorus Pentoxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Aluminium Sulfate)	Sack (Potassium Aluminium Sulfate)	Powder Keg (Potassium Aluminium Sulfate)	Chemical Silo (Potassium Aluminium Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Bitartrate)	Sack (Potassium Bitartrate)	Powder Keg (Potassium Bitartrate)	Chemical Silo (Potassium Bitartrate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Bromide)	Sack (Potassium Bromide)	Powder Keg (Potassium Bromide)	Chemical Silo (Potassium Bromide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Carbonate)	Sack (Potassium Carbonate)	Powder Keg (Potassium Carbonate)	Chemical Silo (Potassium Carbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Chloride)	Sack (Potassium Chloride)	Powder Keg (Potassium Chloride)	Chemical Silo (Potassium Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Chromium Sulfate)	Sack (Potassium Chromium Sulfate)	Powder Keg (Potassium Chromium Sulfate)	Chemical Silo (Potassium Chromium Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Dichromate)	Sack (Potassium Dichromate)	Powder Keg (Potassium Dichromate)	Chemical Silo (Potassium Dichromate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Hydroxide)	Sack (Potassium Hydroxide)	Powder Keg (Potassium Hydroxide)	Chemical Silo (Potassium Hydroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Iodide)	Sack (Potassium Iodide)	Powder Keg (Potassium Iodide)	Chemical Silo (Potassium Iodide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Iron (II) Hexacyanoferrate(III))	Sack (Potassium Iron (II) Hexacyanoferrate(III))	Powder Keg (Potassium Iron (II) Hexacyanoferrate(III))	Chemical Silo (Potassium Iron (II) Hexacyanoferrate(III))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Metabisulfite)	Sack (Potassium Metabisulfite)	Powder Keg (Potassium Metabisulfite)	Chemical Silo (Potassium Metabisulfite)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Nitrate)	Sack (Potassium Nitrate)	Powder Keg (Potassium Nitrate)	Chemical Silo (Potassium Nitrate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Permanganate)	Sack (Potassium Permanganate)	Powder Keg (Potassium Permanganate)	Chemical Silo (Potassium Permanganate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Phenoxide)	Sack (Potassium Phenoxide)	Powder Keg (Potassium Phenoxide)	Chemical Silo (Potassium Phenoxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Potassium Sodium Tartrate)	Sack (Potassium Sodium Tartrate)	Powder Keg (Potassium Sodium Tartrate)	Chemical Silo (Potassium Sodium Tartrate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Propane)	Cartridge (Propane)	Canister (Propane)	Chemical Tank (Propane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Propanol)	Beaker (Propanol)	Drum (Propanol)	Chemical Vat (Propanol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Propylene)	Cartridge (Propylene)	Canister (Propylene)	Chemical Tank (Propylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Rum)	Beaker (Rum)	Drum (Rum)	Chemical Vat (Rum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Samarium III Chloride)	Sack (Samarium III Chloride)	Powder Keg (Samarium III Chloride)	Chemical Silo (Samarium III Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Silicon Carbide)	Beaker (Silicon Carbide)	Drum (Silicon Carbide)	Chemical Vat (Silicon Carbide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Silicon Dioxide)	Beaker (Silicon Dioxide)	Drum (Silicon Dioxide)	Chemical Vat (Silicon Dioxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Acetate)	Beaker (Sodium Acetate)	Drum (Sodium Acetate)	Chemical Vat (Sodium Acetate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Bicarbonate)	Beaker (Sodium Bicarbonate)	Drum (Sodium Bicarbonate)	Chemical Vat (Sodium Bicarbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Bisulfate)	Beaker (Sodium Bisulfate)	Drum (Sodium Bisulfate)	Chemical Vat (Sodium Bisulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Borate)	Beaker (Sodium Borate)	Drum (Sodium Borate)	Chemical Vat (Sodium Borate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Bromide)	Beaker (Sodium Bromide)	Drum (Sodium Bromide)	Chemical Vat (Sodium Bromide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Carbonate)	Beaker (Sodium Carbonate)	Drum (Sodium Carbonate)	Chemical Vat (Sodium Carbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Chlorate)	Beaker (Sodium Chlorate)	Drum (Sodium Chlorate)	Chemical Vat (Sodium Chlorate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Sodium Chloride)	Sack (Sodium Chloride)	Powder Keg (Sodium Chloride)	Chemical Silo (Sodium Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Fluoride)	Beaker (Sodium Fluoride)	Drum (Sodium Fluoride)	Chemical Vat (Sodium Fluoride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Hexametaphosphate)	Beaker (Sodium Hexametaphosphate)	Drum (Sodium Hexametaphosphate)	Chemical Vat (Sodium Hexametaphosphate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Sodium Hydroxide)	Sack (Sodium Hydroxide)	Powder Keg (Sodium Hydroxide)	Chemical Silo (Sodium Hydroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Hypochlorite)	Beaker (Sodium Hypochlorite)	Drum (Sodium Hypochlorite)	Chemical Vat (Sodium Hypochlorite)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Metabisulfite)	Beaker (Sodium Metabisulfite)	Drum (Sodium Metabisulfite)	Chemical Vat (Sodium Metabisulfite)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Nitrate)	Beaker (Sodium Nitrate)	Drum (Sodium Nitrate)	Chemical Vat (Sodium Nitrate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Percarbonate)	Beaker (Sodium Percarbonate)	Drum (Sodium Percarbonate)	Chemical Vat (Sodium Percarbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Phenoxide)	Beaker (Sodium Phenoxide)	Drum (Sodium Phenoxide)	Chemical Vat (Sodium Phenoxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Phosphate)	Beaker (Sodium Phosphate)	Drum (Sodium Phosphate)	Chemical Vat (Sodium Phosphate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Silicate)	Beaker (Sodium Silicate)	Drum (Sodium Silicate)	Chemical Vat (Sodium Silicate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Sulfate)	Beaker (Sodium Sulfate)	Drum (Sodium Sulfate)	Chemical Vat (Sodium Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Sulfite)	Beaker (Sodium Sulfite)	Drum (Sodium Sulfite)	Chemical Vat (Sodium Sulfite)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Tetraborate Decahydrate)	Beaker (Sodium Tetraborate Decahydrate)	Drum (Sodium Tetraborate Decahydrate)	Chemical Vat (Sodium Tetraborate Decahydrate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sodium Thiosulfate)	Beaker (Sodium Thiosulfate)	Drum (Sodium Thiosulfate)	Chemical Vat (Sodium Thiosulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Stearic Acid)	Beaker (Stearic Acid)	Drum (Stearic Acid)	Chemical Vat (Stearic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Stearyl Alcohol)	Beaker (Stearyl Alcohol)	Drum (Stearyl Alcohol)	Chemical Vat (Stearyl Alcohol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Styrene)	Beaker (Styrene)	Drum (Styrene)	Chemical Vat (Styrene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Succinic Acid)	Beaker (Succinic Acid)	Drum (Succinic Acid)	Chemical Vat (Succinic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sucrose)	Beaker (Sucrose)	Drum (Sucrose)	Chemical Vat (Sucrose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sulfuric Acid)	Beaker (Sulfuric Acid)	Drum (Sulfuric Acid)	Chemical Vat (Sulfuric Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Sweet Butane Fuel)	Cartridge (Sweet Butane Fuel)	Canister (Sweet Butane Fuel)	Chemical Tank (Sweet Butane Fuel)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Sweet Light Naphtha)	Beaker (Sweet Light Naphtha)	Drum (Sweet Light Naphtha)	Chemical Vat (Sweet Light Naphtha)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Sweet Propane Fuel)	Cartridge (Sweet Propane Fuel)	Canister (Sweet Propane Fuel)	Chemical Tank (Sweet Propane Fuel)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Tannic Acid)	Beaker (Tannic Acid)	Drum (Tannic Acid)	Chemical Vat (Tannic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Tartaric Acid)	Beaker (Tartaric Acid)	Drum (Tartaric Acid)	Chemical Vat (Tartaric Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (t-Butyl Mercaptan)	Beaker (t-Butyl Mercaptan)	Drum (t-Butyl Mercaptan)	Chemical Vat (t-Butyl Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Tequila)	Beaker (Tequila)	Drum (Tequila)	Chemical Vat (Tequila)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Terephthalic Acid)	Beaker (Terephthalic Acid)	Drum (Terephthalic Acid)	Chemical Vat (Terephthalic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Tetrachloroethylene)	Beaker (Tetrachloroethylene)	Drum (Tetrachloroethylene)	Chemical Vat (Tetrachloroethylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Tetraethylene Glycol)	Beaker (Tetraethylene Glycol)	Drum (Tetraethylene Glycol)	Chemical Vat (Tetraethylene Glycol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Thiourea)	Beaker (Thiourea)	Drum (Thiourea)	Chemical Vat (Thiourea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Thymolphthalein)	Beaker (Thymolphthalein)	Drum (Thymolphthalein)	Chemical Vat (Thymolphthalein)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Titanium Dioxide)	Beaker (Titanium Dioxide)	Drum (Titanium Dioxide)	Chemical Vat (Titanium Dioxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Toluene)	Beaker (Toluene)	Drum (Toluene)	Chemical Vat (Toluene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Toluene Diisocyanate)	Beaker (Toluene Diisocyanate)	Drum (Toluene Diisocyanate)	Chemical Vat (Toluene Diisocyanate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Town Gas)	Cartridge (Town Gas)	Canister (Town Gas)	Chemical Tank (Town Gas)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Trichloroethylene)	Beaker (Trichloroethylene)	Drum (Trichloroethylene)	Chemical Vat (Trichloroethylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Triethylaluminium)	Sack (Triethylaluminium)	Powder Keg (Triethylaluminium)	Chemical Silo (Triethylaluminium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Triethylene Glycol)	Beaker (Triethylene Glycol)	Drum (Triethylene Glycol)	Chemical Vat (Triethylene Glycol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Trimethyl Orthoformate)	Sack (Trimethyl Orthoformate)	Powder Keg (Trimethyl Orthoformate)	Chemical Silo (Trimethyl Orthoformate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Trioxane)	Beaker (Trioxane)	Drum (Trioxane)	Chemical Vat (Trioxane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Tungsten VI Chloride )	Sack (Tungsten VI Chloride )	Powder Keg (Tungsten VI Chloride )	Chemical Silo (Tungsten VI Chloride )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Turpentine)	Beaker (Turpentine)	Drum (Turpentine)	Chemical Vat (Turpentine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Urea)	Beaker (Urea)	Drum (Urea)	Chemical Vat (Urea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Urea Formaldehyde)	Beaker (Urea Formaldehyde)	Drum (Urea Formaldehyde)	Chemical Vat (Urea Formaldehyde)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Valerolactone)	Beaker (Valerolactone)	Drum (Valerolactone)	Chemical Vat (Valerolactone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Vinyl Acetate)	Beaker (Vinyl Acetate)	Drum (Vinyl Acetate)	Chemical Vat (Vinyl Acetate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Vinyl Chloride)	Beaker (Vinyl Chloride)	Drum (Vinyl Chloride)	Chemical Vat (Vinyl Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Vodka)	Beaker (Vodka)	Drum (Vodka)	Chemical Vat (Vodka)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Deionized Water)	Beaker (Deionized Water)	Drum (Deionized Water)	Chemical Vat (Deionized Water)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0													0	0	0	0		0	0
